Nama Wilayah,IUHH,IPTHN,IPLRN,IPM,Latitude,Longitude
Kabupaten Kutai Barat,0.817,0.656,0.723,72.92,-0.4052,115.8522
Kabupaten Kutai Kartanegara,0.810,0.687,0.749,74.67,-0.1337,116.6082
Kabupaten Kutai Timur,0.823,0.676,0.739,74.35,0.9434,116.9852
Kabupaten Berau,0.805,0.689,0.784,75.74,2.0451,117.3616
Kabupaten Penajam Paser Utara,0.796,0.636,0.754,72.55,-1.2917,116.5138
Kabupaten Mahakam Ulu,0.805,0.629,0.641,68.75,0.9617,114.7143
Kota Balikpapan,0.843,0.759,0.834,81.13,-1.2379,116.8529
Kota Samarinda,0.839,0.776,0.829,81.43,-0.4948,117.1436
Kota Bontang,0.840,0.726,0.869,80.94,0.1209,117.48
Kabupaten Malinau,0.792,0.684,0.711,72.75,3.0731,116.0414
Kabupaten Bulungan,0.812,0.669,0.690,72.08,2.9042,116.9852
Kabupaten Tana Tidung,0.792,0.643,0.634,68.6,3.5519,117.0794
Kabupaten Nunukan,0.791,0.627,0.611,67.16,4.081,116.6082
Kota Tarakan,0.832,0.726,0.747,76.68,3.3274,117.5785
Kabupaten Bolaang Mongondow,0.766,0.595,0.720,68.95,0.6871,124.0641
Kabupaten Minahasa,0.792,0.721,0.774,76.18,1.2169,124.8183
Kabupaten Kepulauan Sangihe,0.777,0.633,0.748,71.63,3.6329,125.5001
Kabupaten Kepulauan Talaud,0.778,0.676,0.665,70.43,4.3067,126.8035
Kabupaten Minahasa Selatan,0.775,0.667,0.750,72.89,1.0947,124.4642
Kabupaten Minahasa Utara,0.795,0.702,0.747,74.69,1.5328,124.9948
Kabupaten Bolaang Mongondow Utara,0.739,0.628,0.679,68.06,0.907,123.2657
Kabupaten Siau Tagulandang Biaro,0.789,0.641,0.648,68.94,2.346,125.4124
Kabupaten Minahasa Tenggara,0.777,0.650,0.724,71.48,1.0279,124.7299
Kabupaten Bolaang Mongondow Selatan,0.688,0.614,0.677,65.9,0.4053,123.8411
Kabupaten Bolaang Mongondow Timur,0.742,0.600,0.682,67.21,0.7153,124.4642
Kota Manado,0.803,0.775,0.813,79.66,1.4748,124.8421
Kota Bitung,0.790,0.682,0.774,74.7,1.4404,125.1217
Kota Tomohon,0.807,0.754,0.764,77.44,1.3229,124.8405
Kota Kotamobagu,0.784,0.702,0.735,73.96,0.7244,124.3199
Kabupaten Banggai Kepulauan,0.719,0.645,0.622,66.08,-0.9562,122.6277
Kabupaten Banggai,0.783,0.655,0.700,71.08,-0.9562,122.6277
Kabupaten Morowali,0.757,0.683,0.738,72.55,-2.6987,121.9018
Kabupaten Poso,0.788,0.698,0.676,71.93,-1.6469,120.4358
Kabupaten Donggala,0.732,0.616,0.645,66.25,-0.4233,119.8352
Kabupaten Toli-Toli,0.714,0.651,0.640,66.76,0.8768,120.758
Kabupaten Buol,0.759,0.669,0.640,68.72,0.9695,121.3542
Kabupaten Parigi Moutong,0.682,0.606,0.703,66.26,0.5818,120.8039
Kabupaten Tojo Una-Una,0.709,0.624,0.637,65.54,-1.0988,121.537
Kabupaten Sigi,0.772,0.655,0.652,69.05,-1.386,119.8815
Kabupaten Banggai Laut,0.705,0.649,0.635,66.22,-1.6735,123.5504
Kabupaten Morowali Utara,0.766,0.633,0.677,68.97,-1.6312,121.3542
Kota Palu,0.788,0.845,0.829,82.02,-0.9003,119.878
Kabupaten Kepulauan Selayar,0.751,0.622,0.684,68.35,-6.287,120.5049
Kabupaten Bulukumba,0.746,0.640,0.729,70.34,-5.4329,120.2051
Kabupaten Bantaeng,0.783,0.569,0.760,69.69,-5.5169,120.0203
Kabupaten Jeneponto,0.720,0.561,0.683,65.13,-5.5546,119.6731
Kabupaten Takalar,0.733,0.601,0.723,68.31,-5.4162,119.4876
Kabupaten Gowa,0.780,0.659,0.696,70.99,-5.3103,119.7426
Kabupaten Sinjai,0.734,0.628,0.693,68.33,-5.2172,120.1127
Kabupaten Maros,0.758,0.637,0.741,71,-5.0549,119.6963
Kabupaten Pangkajene dan Kepulauan,0.725,0.623,0.752,69.79,-4.805,119.5572
Kabupaten Barru,0.759,0.653,0.738,71.53,-4.4364,119.6499
Kabupaten Bone,0.732,0.606,0.678,67.01,-4.7443,120.0665
Kabupaten Soppeng,0.772,0.632,0.694,69.7,-4.3519,119.9278
Kabupaten Wajo,0.736,0.608,0.775,70.26,-4.0222,120.0665
Kabupaten Sidenreng Rappang,0.776,0.629,0.767,72.06,-3.7739,120.0203
Kabupaten Pinrang,0.772,0.636,0.760,71.97,-3.6483,119.5572
Kabupaten Enrekang,0.787,0.683,0.736,73.39,-3.4591,119.8815
Kabupaten Luwu,0.781,0.655,0.711,71.36,-3.3052,120.2513
Kabupaten Tana Toraja,0.826,0.669,0.617,69.88,-3.0753,119.7426
Kabupaten Luwu Utara,0.754,0.612,0.760,70.51,-2.269,119.9741
Kabupaten Luwu Timur,0.784,0.658,0.783,73.92,-2.5826,121.171
Kabupaten Toraja Utara,0.825,0.648,0.651,70.36,-2.8622,119.8352
Kota Makassar,0.806,0.818,0.871,83.12,-5.1477,119.4327
Kota Parepare,0.793,0.759,0.805,78.54,-4.0096,119.6291
Kota Palopo,0.787,0.789,0.791,78.91,-3.0016,120.1985
Kabupaten Buton,0.746,0.660,0.617,67.23,-5.3096,122.9888
Kabupaten Muna,0.776,0.673,0.645,69.61,-4.9016,122.6277
Kabupaten Konawe,0.775,0.672,0.718,72.04,-3.938,122.0837
Kabupaten Kolaka,0.789,0.664,0.773,73.98,-3.9947,121.5827
Kabupaten Konawe Selatan,0.784,0.625,0.681,69.36,-4.2028,122.4467
Kabupaten Bombana,0.757,0.599,0.658,66.81,-4.6543,121.9018
Kabupaten Wakatobi,0.778,0.659,0.694,70.85,-5.6504,123.8902
Kabupaten Kolaka Utara,0.775,0.622,0.723,70.39,-3.1347,121.171
Kabupaten Buton Utara,0.784,0.665,0.631,69,-4.7023,123.0339
Kabupaten Konawe Utara,0.763,0.682,0.691,71.1,-3.3803,122.0837
Kabupaten Kolaka Timur,0.814,0.624,0.639,68.73,-4.2279,121.9018
Kabupaten Konawe Kepulauan,0.746,0.662,0.601,66.69,-4.1361,123.1239
Kabupaten Muna Barat,0.775,0.604,0.620,66.21,-4.9016,122.6277
Kabupaten Buton Tengah,0.735,0.610,0.620,65.29,-5.3891,122.5599
Kabupaten Buton Selatan,0.735,0.623,0.612,65.44,-5.3096,122.9888
Kota Kendari,0.830,0.887,0.820,84.51,-3.9985,122.513
Kota Baubau,0.790,0.786,0.726,76.67,-5.5071,122.5969
Kabupaten Boalemo,0.763,0.580,0.687,67.27,0.7013,122.2654
Kabupaten Gorontalo,0.737,0.620,0.697,68.28,0.5693,122.8084
Kabupaten Pohuwato,0.686,0.589,0.728,66.53,0.7055,121.7195
Kabupaten Bone Bolango,0.752,0.657,0.721,70.9,0.5658,123.3486
Kabupaten Gorontalo Utara,0.712,0.585,0.690,66.01,0.9253,122.492
Kota Gorontalo,0.814,0.751,0.783,78.22,0.5435,123.0568
Kabupaten Majene,0.649,0.682,0.706,67.84,-3.0297,118.9063
Kabupaten Polewali Mandar,0.659,0.625,0.660,64.79,-3.3419,119.1391
Kabupaten Mamasa,0.788,0.615,0.627,67.21,-2.9118,119.325
Kabupaten Mamuju,0.742,0.638,0.691,68.88,-2.492,119.325
Kabupaten Mamuju Utara,0.722,0.605,0.740,68.61,-1.5265,119.5108
Kabupaten Mamuju Tengah,0.753,0.605,0.656,66.89,-1.9354,119.5108
Kabupaten Maluku Tenggara Barat,0.673,0.668,0.568,63.45,-7.5323,131.3611
Kabupaten Maluku Tenggara,0.699,0.684,0.625,66.88,-5.7512,132.7272
Kabupaten Maluku Tengah,0.719,0.722,0.714,71.81,-3.0167,129.4864
Kabupaten Buru,0.719,0.667,0.714,69.94,-3.3307,126.6957
Kabupaten Kepulauan Aru,0.666,0.638,0.623,64.21,-6.1947,134.5502
Kabupaten Seram Bagian Barat,0.650,0.685,0.665,66.67,-3.1272,128.4008
Kabupaten Seram Bagian Timur,0.616,0.649,0.689,65.05,-3.4233,130.2271
Kabupaten Maluku Barat Daya,0.661,0.640,0.593,63.07,-7.7852,126.3498
Kabupaten Buru Selatan,0.718,0.625,0.622,65.37,-3.7274,126.6957
Kota Ambon,0.785,0.853,0.813,81.63,-3.6554,128.1908
Kota Tual,0.710,0.740,0.614,68.6,-5.6266,132.7521
Kabupaten Halmahera Barat,0.718,0.653,0.619,66.2,1.359,127.5961
Kabupaten Halmahera Tengah,0.686,0.668,0.641,66.49,0.442,128.3587
Kabupaten Kepulauan Sula,0.672,0.661,0.610,64.7,-1.8456,125.3431
Kabupaten Halmahera Selatan,0.711,0.632,0.613,65.06,-1.5109,127.7238
Kabupaten Halmahera Utara,0.767,0.667,0.624,68.38,1.5074,127.8937
Kabupaten Halmahera Timur,0.762,0.641,0.642,67.93,1.3121,128.485
Kabupaten Pulau Morotai,0.734,0.608,0.582,63.8,2.3657,128.4008
Kabupaten Pulau Taliabu,0.654,0.622,0.575,61.64,-1.8268,124.7741
Kota Ternate,0.790,0.840,0.795,80.81,0.771,127.3695
Kota Tidore Kepulauan,0.765,0.731,0.655,71.55,0.674,127.4041
Kabupaten Fakfak,0.750,0.709,0.621,69.12,-3.0977,133.0195
Kabupaten Kaimana,0.696,0.638,0.650,66.11,-3.2884,133.9437
Kabupaten Teluk Wondama,0.624,0.565,0.640,60.87,-2.8552,134.3237
Kabupaten Teluk Bintuni,0.636,0.624,0.701,65.27,-1.9057,133.3295
Kabupaten Manokwari,0.757,0.664,0.762,72.6,-0.999,133.0195
Kabupaten Sorong Selatan,0.719,0.621,0.562,63.08,-1.7658,132.1573
Kabupaten Sorong,0.716,0.670,0.618,66.69,-1.1223,131.4883
Kabupaten Raja Ampat,0.694,0.608,0.640,64.65,-1.0915,130.8779
Kabupaten Tambrauw,0.626,0.527,0.495,54.63,-0.7819,132.3938
Kabupaten Maybrat,0.700,0.614,0.514,60.49,-1.2971,132.3151
Kabupaten Manokwari Selatan,0.736,0.574,0.529,60.68,-0.999,133.0195
Kabupaten Pegunungan Arfak,0.731,0.505,0.502,57.01,-1.1555,133.7142
Kota Sorong,0.791,0.777,0.801,78.98,-0.8762,131.2558
Kabupaten Merauke,0.728,0.696,0.714,71.24,-7.7838,139.0413
Kabupaten Jayawijaya,0.619,0.548,0.624,59.6,-4.0004,138.7995
Kabupaten Jayapura,0.730,0.742,0.708,72.67,-2.9879,139.8547
Kabupaten Nabire,0.745,0.684,0.671,69.91,-3.5095,135.7521
Kabupaten Kepulauan Yapen,0.760,0.679,0.621,68.41,-1.7469,136.1709
Kabupaten Biak Numfor,0.746,0.746,0.695,72.85,-1.0381,135.9801
Kabupaten Paniai,0.722,0.452,0.572,57.14,-3.7876,136.3625
Kabupaten Puncak Jaya,0.702,0.343,0.514,49.84,-3.4468,137.8427
Kabupaten Mimika,0.809,0.700,0.748,75.08,-4.4553,137.1362
Kabupaten Boven Digoel,0.625,0.614,0.636,62.52,-5.74,140.3482
Kabupaten Mappi,0.702,0.527,0.572,59.61,-6.7606,139.6911
Kabupaten Asmat,0.598,0.442,0.538,52.22,-5.0574,138.3988
Kabupaten Yahukimo,0.712,0.359,0.496,50.25,-4.494,139.528
Kabupaten Pegunungan Bintang,0.689,0.291,0.525,47.21,-4.559,140.5136
Kabupaten Tolikara,0.709,0.368,0.494,50.51,-3.4811,138.4787
Kabupaten Sarmi,0.719,0.647,0.586,64.86,-2.4678,139.2031
Kabupaten Keerom,0.724,0.623,0.674,67.24,-3.345,140.7624
Kabupaten Waropen,0.718,0.670,0.589,65.67,-1.7469,136.1709
Kabupaten Supiori,0.713,0.669,0.540,63.65,-0.7295,135.6385
Kabupaten Mamberamo Raya,0.589,0.532,0.477,53.1,-2.5331,137.7638
Kabupaten Nduga,0.549,0.166,0.436,34.1,-4.4069,138.2394
Kabupaten Lanny Jaya,0.712,0.372,0.461,49.62,-3.971,138.319
Kabupaten Mamberamo Tengah,0.678,0.378,0.466,49.25,-2.3746,138.319
Kabupaten Yalimo,0.703,0.370,0.477,49.9,-3.7853,139.4466
Kabupaten Puncak,0.710,0.227,0.523,43.87,-3.8649,137.6062
Kabupaten Dogiyai,0.710,0.460,0.530,55.72,-4.0454,135.6763
Kabupaten Intan Jaya,0.707,0.322,0.525,49.25,-3.5076,136.7478
Kabupaten Deiyai,0.702,0.382,0.478,50.42,-4.0975,136.4393
Kota Jayapura,0.781,0.809,0.829,80.61,-2.5916,140.669
